pixel number,Galactic Longitude,Galactic Latitude,FIMS FUV (CU),GALEX FUV (CU),RASS xray band2,RASS xray band5,H-alpha,E(B-V),N(H I)
1,45,89.269,349.214,535.771,803.947,119.661,0.5502,0.010246,9.05E+19
3,225,89.269,334.202,489.828,595.743,65.547,0.4649,0.01243,1.05E+20
4,315,89.269,344.486,616.845,663.32,73.367,0.5366,0.01077,8.54E+19
5,22.5,88.538,359.659,750.504,714.273,87.736,0.4797,0.00989,8.65E+19
6,67.5,88.538,375.651,402.239,1272.912,370.643,0.4388,0.010127,9.03E+19
7,112.5,88.538,323.676,543.013,661.258,53.099,0.4166,0.011626,1.06E+20
8,157.5,88.538,310.77,397.139,632.966,81.868,0.6523,0.01212,1.19E+20
9,202.5,88.538,321.467,393.384,603.837,60.184,0.5805,0.013586,1.27E+20
10,247.5,88.538,329.718,446.341,625.373,57.313,0.501,0.012554,1.13E+20
11,292.5,88.538,348.054,571.932,718.763,67.489,0.6335,0.010881,7.96E+19
12,337.5,88.538,360.106,656.699,699.78,74.068,0.6902,0.010973,8.42E+19
13,15,87.807,341.484,580.177,676.338,62.942,0.4589,0.010014,9.52E+19
14,45,87.807,378.239,529.983,1283.413,496.7,0.5668,0.009169,9.19E+19
15,75,87.807,352.014,420.147,854.947,174.04,0.3619,0.010761,9.89E+19
16,105,87.807,313.375,529.485,645.557,84.28,0.3596,0.012842,1.13E+20
17,135,87.807,283.169,453.863,564.212,60.374,0.4139,0.013244,1.30E+20
18,165,87.807,297.536,392.529,532.254,68.034,0.6856,0.013372,1.41E+20
19,195,87.807,314.7,406.509,559.918,66.794,0.6357,0.014377,1.32E+20
20,225,87.807,322.297,419.226,528.441,61.911,0.5652,0.015616,1.32E+20
21,255,87.807,328.167,414.94,650.531,63.276,0.592,0.01399,1.15E+20
22,285,87.807,335.725,464.976,581.109,72.631,0.6422,0.013926,1.02E+20
23,315,87.807,338.404,539.634,610.427,69.973,0.6659,0.012328,9.16E+19
24,345,87.807,345.719,612.902,595.725,75.117,0.7084,0.011941,9.68E+19
25,11.25,87.076,326.441,428.305,606.342,69.423,0.465,0.013009,1.11E+20
26,33.75,87.076,336.085,446.586,572.131,82.709,0.6225,0.010921,1.06E+20
27,56.25,87.076,364.664,429.165,770.959,155.333,0.4995,0.009396,1.04E+20
28,78.75,87.076,344.02,393.259,590.945,73.115,0.3615,0.011131,1.11E+20
29,101.25,87.076,303.639,481.257,615.538,68.852,0.3371,0.012019,1.10E+20
30,123.75,87.076,270.08,424.583,585.897,55.177,0.2893,0.01373,1.24E+20
